pref,amInd,asian,black,hispanic,white,occurences
ur,0.0022,0.0027,0.0014,0.9182,0.0712,5857
ul,0.0136,0,0,0.017,0.9474,1178
zet,0,0,0,0.0161,0.9819,498
ohl,0,0,0,0.017,0.9697,528
ab,0.006840894,0.004858026,0.045209388,0.024683233,0.903760489,52066
ag,0.0035,0.0017,0.0029,0.9463,0.0423,9878
am,0.00194725,0.003602413,0.010678768,0.910633681,0.068413478,22749
ap,0.0007,0.0026,0.0145,0.901,0.0765,12905
as,0.0181,0,0,0.0173,0.9456,1214
au,0,0,0,0.019,0.9621,633
dre,0,0.0049,0,0.0194,0.9563,1029
av,0,0.0041,0,0.0518,0.9285,1217
gru,0,0,0,0.0129,0.9667,541
uri,0.0022,0.0027,0.0014,0.9182,0.0712,5857
ne,0.00733758,0.006372366,0.023020088,0.010800882,0.937771387,2041
nal,0.0075,0.005,0.0281,0.0132,0.9345,4385
til,0.0046,0.0103,0.0146,0.0146,0.9375,7997
naw,0,0,0,0.0152,0.9675,462
goe,0.002482882,0.003950319,0.001839172,0.015232166,0.966638534,9563
agu,0.0035,0.0017,0.0029,0.9463,0.0423,9878
