pattern,black,white,amInd,asian,hispanic
du/et,0.0086,0.9538,0.0156,0.0,0.0149
du/ez,0.0,0.0398,0.0,0.0044,0.9488
du/ford,0.0358190485997,0.926516330313,0.00410051482702,0.00332683278418,0.0133548599671
du/fort,0.0867,0.8537,0.0,0.0,0.017
du/i,0.0,0.812149878543,0.0,0.117014817814,0.0149900809717
du/iak,0.0,0.9682,0.0,0.0,0.0212
du/ik,0.0,0.9811,0.0,0.0,0.0071
du/in,0.0857775431492,0.875792939447,0.00430659049272,0.00560228039726,0.0153703500145
du/ing,0.0940088700421,0.86809464354,0.00391413085066,0.0029489669685,0.0161147621477
du/is,0.0405836304467,0.905715531492,0.0136774414653,0.00540405206923,0.0201657374075
du/j,0.0,0.985,0.0,0.0,0.0
